DC_ID	DCC_ID
DC000260	DCC0007
DC000260	DCC0131
DC000261	DCC0024
DC000261	DCC0350
DC000262	DCC0367
DC000262	DCC0397
DC000263	DCC0170
DC000263	DCC0405
DC000264	DCC0053
DC000264	DCC0213
DC000265	DCC0111
DC000265	DCC0366
DC000266	DCC0039
DC000266	DCC0322
DC000267	DCC0190
DC000267	DCC0285
DC000268	DCC0259
DC000268	DCC0473
DC000269	DCC0097
DC000269	DCC0285
DC006767	DCC0179
DC006767	DCC0228
DC006803	DCC0787
DC006803	DCC1628
DC006815	DCC0296
DC006815	DCC1142
DC006823	DCC0120
DC006823	DCC0295
DC006823	DCC0332
DC006837	DCC1587
DC006837	DCC1659
DC006842	DCC0203
DC006842	DCC0545
DC006842	DCC1127
DC006847	DCC0013
DC006847	DCC0117
DC006847	DCC0325
DC006847	DCC1183
DC006853	DCC0061
DC006853	DCC0138
DC006857	DCC0723
DC006857	DCC0932
DC006861	DCC0203
DC006861	DCC0545
DC006861	DCC1165
DC006864	DCC0139
DC006864	DCC1131
DC006865	DCC0008
DC006865	DCC0012
DC006865	DCC0329
DC006882	DCC0168
DC006882	DCC1116
DC006888	DCC0131
DC006888	DCC1564
DC006898	DCC0067
DC006898	DCC0329
DC006904	DCC0172
DC006904	DCC0285
DC006904	DCC0319
DC006904	DCC1297
DC006904	DCC1453
DC006920	DCC0240
DC006920	DCC0325
DC006920	DCC1745
DC006957	DCC0002
DC006957	DCC0203
DC006957	DCC0897
DC006970	DCC1124
DC006970	DCC1680
DC007000	DCC0006
DC007000	DCC0079
DC007005	DCC0123
DC007005	DCC0158
DC007006	DCC0240
DC007006	DCC0290
DC007011	DCC0096
DC007011	DCC0329
DC007013	DCC0184
DC007013	DCC1124
DC007013	DCC1354
DC007018	DCC0131
DC007018	DCC0868
DC007018	DCC1495
DC007020	DCC0073
DC007020	DCC0270
DC007023	DCC0023
DC007023	DCC0339
DC007023	DCC0464
DC007023	DCC1333
DC007029	DCC0030
DC007029	DCC0179
DC007029	DCC0228
DC007031	DCC0407
DC007031	DCC1740
DC007044	DCC0012
DC007044	DCC0128
DC007044	DCC0162
DC007044	DCC0634
DC007046	DCC0008
